Language Name,Language Identifier (Rev79),Complete Chapters (Project),Translation Status (Project),Comments,Country (Project),Organization,Organization Role,All Access Goal (Rev79),All Access Goal Status (Rev79),Updated in Rev79,Sensitivity,Mode,Type of translation,Contact Person,Team Leader,Mentor,Standard Objectives,Chapters,Start Date,End Date,Last updated,Not approved yet chapters
Bonkiman,bop,,Planned (to start in the next 12 months),,Papua New Guinea,YWAM Madang,,25 Chapters,Translation not Started,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e815aa0dbf5e2683add07?v=145a7a8d5e6e8171abee000c0d1d5c30,,,,
Bouyei,pcc,,Progress Unknown,Need to ask Youngshin about this,"China, Laos, Vietnam",YWAM Perth,,Bible,Translation in Progress,Yes,,,,???,,,,https://www.notion.so/uofncall/145a7a8d5e6e8135878cfb31b9ece71d?v=145a7a8d5e6e81c49677000cd8eed608,,,,
Brem,buq,0,Active,OMTT Training,Papua New Guinea,YWAM Madang,,25 Chapters,Translation in Progress,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e8130a9bef7507cbc8386?v=13fa7a8d5e6e8100af92000c76e79048,,,,
Bunak,bfn,0,Active,Will start 2025,East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Anabel,Raissa,Bible Translation,https://www.notion.so/uofncall/149a7a8d5e6e81b5942ffd3e30e123c2?v=149a7a8d5e6e811fbf04000c15a67f59,,,16/06/2026,
Bunuba,bck,0,Planned (to start in the next 12 months),,Australia,YWAM Perth,,,Not on All Access Goals List,Yes,,,,Jen,,,,https://www.notion.so/uofncall/13fa7a8d5e6e810a8609f66b97b9577f?v=13fa7a8d5e6e817ab74a000c60503bd7,,,,
Chhiling,cur,0,Inactive (paused),,Nepal,YWAM Perth,,,N/A,Yes,,,,Jen,,,,https://www.notion.so/uofncall/144a7a8d5e6e81e5aa51f8183e1b3d22?v=144a7a8d5e6e81698384000c51a26ab3,,,,
Chhintang,ctn,,Planned (to start in the next 12 months),,Nepal,YWAM Perth,,25 Chapters,Translation in Progress,,,,,Jen,,,,https://www.notion.so/uofncall/145a7a8d5e6e8159ac7ef407676f2d36?v=145a7a8d5e6e813eadef000cb977716e,,,,
Chinese: Sichuan,cmn,0,Active,,Australia,YWAM Perth,,Two Bibles,Goal Met in the language,No,,,,Jen,,,,https://www.notion.so/uofncall/13fa7a8d5e6e816e80d8fc887d35facf?v=13fa7a8d5e6e81b79577000c1fa3026e,,,,
Chinook Wawa,chn,0,Active,Will be the reporting org only,"Canada, United States",YWAM Salem,,,Not on All Access Goals List,Yes,,Oral,,Jessy,,Jessy Pfarrkirchner,,https://www.notion.so/uofncall/13fa7a8d5e6e813fb0cfd389ea320836?v=13fa7a8d5e6e81d195a4000c3a97c976,,,16/06/2026,
Cinta Larga,cin,4,Active,,Brazil,YWAM Porto Velho,,25 Chapters,Translation in Progress,Yes,,,,Rafa / Ciro,Ana Beatriz,Raissa,,https://www.notion.so/uofncall/13ea7a8d5e6e81b19964fb50416a42d0?v=13ea7a8d5e6e81a3ab1d000c550d22a2,,,16/06/2026,0
Dâw,kwa,4,Active,,Brazil,YWAM Porto Velho,,25 Chapters,Translation in Progress,Yes,,,,Rafa / Ciro,Rodolfo / Debora,Betania,,https://www.notion.so/uofncall/13ea7a8d5e6e815aa32fdfe73a63914a?v=13ea7a8d5e6e8102b788000c0745c179,,,28/11/2024,
Dhani-Nayak,?,0,Progress Unknown,,Indonesia,YWAM Indonesia,,,,No,,,,Rob,,Sylvia Kay,,https://www.notion.so/uofncall/13ea7a8d5e6e815aa32fdfe73a63914a?v=13ea7a8d5e6e8102b788000c0745c179,,,,
Diahói,pah,,Canceled,They won’t do it now,Brazil,YWAM Porto Velho,,,Not on All Access Goals List,No,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/13ea7a8d5e6e81d590c0f254cbf03cdd?v=13ea7a8d5e6e810aa38c000c9d573dea,,,28/11/2024,
Embera Dobida,emp,0,Active,,Colombia,YWAM Leticia,,NT / 260 Chapters,Goal Met in the language,No,,,,Lori,Edwin,Daniel,,https://www.notion.so/uofncall/13fa7a8d5e6e81c5bcbde9f722212797?v=13fa7a8d5e6e8126824b000ca9a3f970,,,16/06/2026,
Fataluku,,,,// Ready Vessels: (alvo 100h de gravação / 5h de transcrição),,YWAM East Timor,,,,,,,,,,,,,,,,
Fijian - Western,wyy,4,Active,"Book of Ruth completed, Book of Jonah in process",Fiji,YWAM Kona,,NT / 260 Chapters,Translation in Progress,Yes,,,,Semi,Semi,Youngshin,,https://www.notion.so/uofncall/145a7a8d5e6e81cca354e2213f5c76c6?v=145a7a8d5e6e81d2be0e000c4fd8e1f2,,,,
Forak,frq,,Planned (to start in the next 12 months),,Papua New Guinea,YWAM Madang,,25 Chapters,Translation not Started,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e81588d08f3714a031365?v=145a7a8d5e6e819497f1000c472294e0,,,,
Galolen,gal,0,Active,Will start 2025 // Ready Vessels: (alvo 100h de gravação / 5h de transcrição),East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Anabel,Raissa,Bible Translation,https://www.notion.so/uofncall/149a7a8d5e6e81b3985ec0124b90ca33?v=149a7a8d5e6e81a9b226000c83ce9089,,,16/06/2026,
Gangalu,ggl,,Planned (to start in the next 12 months),,Papua New Guinea,YWAM Madang,,25 Chapters,Translation not Started,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e81ceb200e199eaf76aaa?v=145a7a8d5e6e81af99e7000cedc68684,,,,
Garus,gyb,,Active,esperando rodar um treinamento pra entender se é a msm lingua Yoidik,Papua New Guinea,YWAM Madang,,25 Chapters,Translation in Progress,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e81fda34de6247c3ea053?v=145a7a8d5e6e81f28d3e000c58cad3aa,,,,
Gavak,dmc,0,Active,OMTT Training,Papua New Guinea,YWAM Madang,,25 Chapters,Translation in Progress,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e81498d4fc00e53b0364b?v=13fa7a8d5e6e8140a57a000cb40e1afd,,,,
Gbaya,gso,0,Active,,Togo,YWAM Noepe,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Meleah,,Meleah Q,,https://www.notion.so/uofncall/13fa7a8d5e6e815583b6ff9b3372717e?v=13fa7a8d5e6e814e9528000c445a228d,,,,
Gedaged / Bel,gdd,4,Active,OMTT Training - Ruth,Papua New Guinea,YWAM Madang,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e819dbf2ff0b3d4974dc5?v=13fa7a8d5e6e81aa912b000c6e147249,,,16/06/2026,
Guya,gka,,Planned (to start in the next 12 months),,Papua New Guinea,YWAM Madang,,25 Chapters,Translation not Started,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e81e187cffc076b6c4390?v=145a7a8d5e6e81c69f12000ced523451,,,,
Habun,hbu,0,Active,"Will start 2025 // Ready Vessels: ",East Timor,YWAM East Timor,Manages/Co-manages,25 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Anabel,Raissa,Bible Translation,https://www.notion.so/uofncall/149a7a8d5e6e8198af99ed9db1515fe7?v=149a7a8d5e6e81ebb552000cd2da0c3c,,,16/06/2026,
Idate,idt,0,Active,"Plan to translate the Gospels and Acts until the end of 2026 // Ready VEssels: mais de 10h de gravação , não tem transcrição ainda ",East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Luciana,Raissa,Bible Translation,https://www.notion.so/uofncall/13fa7a8d5e6e8149a8d2f299d81dc227?v=13fa7a8d5e6e81c9a2b0000cc0b1736c,,,03/12/2024,
Jaminawa - Yaminahua: Brazilian Side,yaa,156,Active,,Brazil,YWAM Porto Velho,,25 Chapters,Goal Met in the language,Yes,,,,Rafa / Ciro,Matheus / Daniel,Pati Tivane,,https://www.notion.so/uofncall/13ea7a8d5e6e81229045f5fb8b66d901?v=13ea7a8d5e6e8172989e000cf60819da,,,28/11/2024,
Jarawara ,jaa,0,Intent (to start in more than 12 months),"Wycliffe did the New Testament, there’s an intent to do the Old Testament ",Brazil,YWAM Porto Velho,,25 Chapters,Goal Met in the language,Yes,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/13ea7a8d5e6e815596dfc8c713d7b93c?v=13ea7a8d5e6e816f8fb8000c0218dddb,,,28/11/2024,
Jaru,ddj,0,Active,Current is scripture & church engagment,Australia,YWAM Perth,,,Not on All Access Goals List,Yes,,,,Jen,,,,https://www.notion.so/uofncall/13fa7a8d5e6e81f8b8a2c7f22f8b4ed3?v=13fa7a8d5e6e81b29b41000cc9bc8683,,,,
Jiw/Guayabero,guo,0,Active,,Colombia,YWAM Leticia,,25 Chapters,Goal Met in the language,Yes,,,,Lori,Edwin,Daniel,,https://www.notion.so/uofncall/13fa7a8d5e6e8186b802dab80811752c?v=13fa7a8d5e6e81c68b4a000c8351cbbb,,,16/06/2026,
Jola-Felupe,eja,0,Active,"OT portions, Translator training",Guinea-Bissau,YWAM Porto Velho,,NT / 260 Chapters,Translation in Progress,Yes,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/145a7a8d5e6e813ab0c3d673efc560b5?v=145a7a8d5e6e81368600000c8195292b,,,28/11/2024,
Kairui-Midiki,krd,0,Active,,East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Anabel,Raissa,Bible Translation,https://www.notion.so/uofncall/149a7a8d5e6e8122bcd1d06e6cb739f1?v=149a7a8d5e6e81a49e22000c0c46a810,,,03/12/2024,
Kamaiurá,kay,0,Active,,Brazil,YWAM Casa - São Paulo,,25 Chapters,Translation in Progress,Yes,,,,Raíssa,Margareth,Raissa,,https://www.notion.so/uofncall/13ea7a8d5e6e8106b593e2f19e1bd7c4?v=13ea7a8d5e6e81ad84f1000c0bcfe4f7,,,16/06/2026,
Karitiana,ktn,4,Inactive (paused),"The engagement in Rev79 is portion of old testament and is completed because they finished Ruth. They don’t have translators to keep going. ",Brazil,YWAM Porto Velho,,25 Chapters,Translation in Progress,Yes,,,,Rafa / Ciro,Silvana,Betania,,https://www.notion.so/uofncall/13ea7a8d5e6e81908228c446d61713a3?v=13ea7a8d5e6e811eb2ca000c41cc53ca,,,28/11/2024,
Kashinawa,cbs,0,Completed (the team finished what they wanted to do),"eles começaram mas estão aguardando ",Peru,YWAM Aurora,,NT / 260 Chapters,Goal Met in the language,No,,,,Fresia,Fresia,Daniel,,https://www.notion.so/uofncall/13fa7a8d5e6e8137ae3cde7cb7ebd768?v=13fa7a8d5e6e81099b8d000cc67cd0ce,,,29/11/2024,
Katakari in Maharashtra,kfu,0,Progress Unknown,,India,YWAM Los Angeles,,NT / 260 Chapters,Goal Met in the language,No,,,,Silvana,,,,https://www.notion.so/uofncall/13fa7a8d5e6e81ddaf8dd6b105de3bf4?v=13fa7a8d5e6e81ce8fac000c1c7dceaf,,,,
Kebu,ndp,4,Inactive (paused),They don't have a facilitator anymore,Uganda,YWAM Arua,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Suzuki,,Suzuki,,https://www.notion.so/uofncall/13ea7a8d5e6e81099454cf4aae5bd3a3?v=13ea7a8d5e6e8151bcf4000c300bbea0,,,,
Kemak,kem,0,Active,Will start 2025,East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Anabel,Raissa,Bible Translation,https://www.notion.so/uofncall/149a7a8d5e6e817cb6ade1db4592b981?v=149a7a8d5e6e813495b9000c5a0c4879,,,16/06/2026,
Kimberly Kriol,Rop,,Active,,Australia,YWAM Perth,,NT / 260 Chapters,Goal Met in the language,,,,,,,,,,,,16/06/2026,
Ko (kau-nyaro),fuj,0,Inactive (paused),Engaged  in Language Development,Sudan,YWAM Arua,,25 Chapters,Translation in Progress,Yes,,,,Suzuki,,Suzuki,,https://www.notion.so/uofncall/13ea7a8d5e6e814286a2fbcd27a38e8d?v=13ea7a8d5e6e814f868c000cdbea4ea3,,,,
Kopkaka,opk,5,Completed (the team finished what they wanted to do),,Indonesia,YWAM Indonesia,,25 Chapters,Translation in Progress,Yes,,,,Rob,,Sylvia Kay,,https://www.notion.so/uofncall/13fa7a8d5e6e81d0a354e53cc39e36be?v=13fa7a8d5e6e81649285000c14614430,,,,
Korowai,khe,0,Active,,Indonesia,YWAM Indonesia,,25 Chapters,Goal Met in the language,Yes,,,,Rob,,Sylvia Kay,,https://www.notion.so/uofncall/13fa7a8d5e6e812bb2b1ee7709b60f5a?v=13fa7a8d5e6e818aba9c000caf5ebd5f,,,,
Kosrae,kos,0,Active,"Goal is now finishing the whole Bible, Luke, Ruth and Acts 1-8 is completed",Micronesia,YWAM Kona,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Youngshin,,Youngshin,,https://www.notion.so/uofncall/13fa7a8d5e6e81eea93eef609a394100?v=13fa7a8d5e6e81308b78000cb2dbcdfb,,,,
Koti,eko,0,Active,OT portions & translator training,Mozambique,YWAM Porto Velho,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/145a7a8d5e6e8153a54dd9b7ad4cf60f?v=145a7a8d5e6e8136a173000c438e76b5,,,16/06/2026,
Kowaki,xow,,Progress Unknown,"CD & SE are active, not sure about BT / fizeram survey mas lingua em risco, não tem igreja no local",Papua New Guinea,YWAM Madang,,,N/A,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e81d08891ec3ba9b35956?v=145a7a8d5e6e81db8c45000cdba1a405,,,,
Krahô,xra,4,Active,,Brazil,YWAM Porto Velho,,25 Chapters,Translation in Progress,Yes,,,,Rafa / Ciro,Nicolas,Betania,,https://www.notion.so/uofncall/13ea7a8d5e6e81d79358e343a2ccb70e?v=13ea7a8d5e6e8176b1dd000c7a36a6f6,,,28/11/2024,
Krongo-Chznagli,kgo,0,Active,Scripture engagement with refugee population,United States,YWAM Salem,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Jessy,,Jessy Pfarrkirchner,,https://www.notion.so/uofncall/13fa7a8d5e6e8157aecce902ce66bed3?v=13fa7a8d5e6e818793e0000c0c427da9,,,,
Lafofa (Tegem Lafofa),laf,0,Intent (to start in more than 12 months),Interest in Bible Translation and Language Development - Survey/Preparation,Sudan,YWAM Arua,,NT / 260 Chapters,Translation not Started,Yes,,,,Suzuki,,Suzuki,,https://www.notion.so/uofncall/13ea7a8d5e6e81cba401c5c754a035f9?v=13ea7a8d5e6e81dda4d0000cb46d33fd,,,,
Lakalei,lka,0,Planned (to start in the next 12 months),"Will start 2025 // Ready Vessels: ",East Timor,YWAM East Timor,Manages/Co-manages,25 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Anabel,Raissa,Bible Translation,https://www.notion.so/uofncall/13fa7a8d5e6e8117b325dd08720b06b8?v=13fa7a8d5e6e81c29e87000c377d4c95,,,03/12/2024,
Lama-Dessi,not iso language,0,Progress Unknown,,Togo,YWAM Noepe,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Meleah,,Meleah Q,,https://www.notion.so/uofncall/13fa7a8d5e6e81ec88c7dea2e083a8af?v=13fa7a8d5e6e8113864f000cbad82ae1,,,,
Lemio,lei,,Planned (to start in the next 12 months),,Papua New Guinea,YWAM Madang,,25 Chapters,Translation not Started,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e817897ffd4c13fda7ec1?v=145a7a8d5e6e817294fa000c2448c979,,,,
Lilau,LLL,0,Active,OMTT Training - Ruth / lingua em risco,Papua New Guinea,YWAM Madang,,25 Chapters,Translation in Progress,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e81799bf9dd035750ec12?v=13fa7a8d5e6e81c895f1000c057379a6,,,16/06/2026,
Logol,lof,8,Active,Plan to do whole Bible. Engaged in Trauma healing project. Engaged in Language Development,Sudan,YWAM Arua,,,Not on All Access Goals List,Yes,,,,Suzuki,,Suzuki,,https://www.notion.so/uofncall/13ea7a8d5e6e8195bd8ac8d68bb1ec1c?v=13ea7a8d5e6e81bdbffd000c457d8f09,,,,
Loi,ndx,0,Progress Unknown,,Indonesia,YWAM Indonesia,,NT / 260 Chapters,Goal Met in the language,No,,,,Rob,,Sylvia Kay,,https://www.notion.so/uofncall/13fa7a8d5e6e817f9ba5d028bc75770d?v=13fa7a8d5e6e81c68f33000ca6892ffd,,,,
Lokoya,lky,0,Active,Book of Ruth - draft,South Sudan,YWAM Arua,,NT / 260 Chapters,Translation in Progress,Yes,,,,Youngshin,,Youngshin,,https://www.notion.so/uofncall/13ea7a8d5e6e81689ff1f583745d2806?v=13ea7a8d5e6e81ceafe0000c5594c247,,,16/06/2026,
Mahasu,bfz,0,Progress Unknown,Plan to translate New Testament,India,YWAM Los Angeles,,Bible,Translation in Progress,No,,,,Silvana,,Silvana,,https://www.notion.so/uofncall/13fa7a8d5e6e81b480c0fed3cfc033a8?v=13fa7a8d5e6e81aeba28000cecc8b4bf,,,,
Makasae,,,,"// Ready Vessels: ",,YWAM East Timor,,,,,,,,,,,,,,,,
Makhuwa,vmw,0,Active,OT portions & translator training // tem dois dialetos mas que só tem um tradutor,Mozambique,YWAM Porto Velho,,Bible,Goal Met in the language,Yes,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/145a7a8d5e6e8198a5e9d14d07c9aafb?v=145a7a8d5e6e81e4a4f0000c2c6dd4f8,,,28/11/2024,
Mala,mmt,,Active,,Papua New Guinea,YWAM Madang,,25 Chapters,Translation not Started,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e811fb65aedcc7489e197?v=145a7a8d5e6e8161a2fd000c9e9ef475,,,16/06/2026,
Mambae,mgm,0,Active,"Will start 2025 / língua da maratona // Ready Vessels: parou a tradução pra fazer com IA, já tem mais de 10h de gravação e mais de 2h de transcrição ",East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Anabel,Raissa,Bible Translation,https://www.notion.so/uofncall/13fa7a8d5e6e8158a8c1f5a1a3d07e81?v=13fa7a8d5e6e8168ad23000cb373de0e,,,16/06/2026,
Manam,mva,,Active,vão pro treinamento de Lucas,Papua New Guinea,YWAM Madang,,,,,,,,,,,,,,,,
Manombai ,woo,0,Active,,Indonesia,YWAM Indonesia,,25 Chapters,Translation in Progress,Yes,,,,Rob,,Sylvia Kay,,https://www.notion.so/uofncall/13fa7a8d5e6e8118b50fe5da050e6fd7?v=13fa7a8d5e6e81a19089000cab2a7c67,,,,
Mansoanka,msw,0,Active,OT portions & translator training,Guinea-Bissau,YWAM Porto Velho,,NT / 260 Chapters,Translation in Progress,Yes,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/145a7a8d5e6e819fafbeea7d78cae013?v=145a7a8d5e6e8150ad98000c03a4d1bd,,,28/11/2024,
Matis,mpq,0,Planned (to start in the next 12 months),It’ll start in January,Brazil,YWAM Porto Velho,,25 Chapters,Translation in Progress,Yes,,,,Rafa / Ciro,Genielson Junior,Betania,,https://www.notion.so/uofncall/145a7a8d5e6e817ebb5ec612db385d7f?v=145a7a8d5e6e810498ac000c91af159d,,,28/11/2024,
Matses,mcf,0,Inactive (paused),eles começaram mas tem outras organizações envolvidas,Peru,YWAM Aurora,,NT / 260 Chapters,Goal Met in the language,No,,,,Fresia,Fresia,Daniel,,https://www.notion.so/uofncall/13fa7a8d5e6e817898fbde569add0cba?v=13fa7a8d5e6e81d19f82000cd4c00dd6,,,29/11/2024,
Medebur,mjm,0,Active,não fizeram o treinamento ainda,Papua New Guinea,YWAM Madang,,25 Chapters,Translation in Progress,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e817a8fc5ff87d82e80b0?v=13fa7a8d5e6e8197a9cf000c6b007ce1,,,16/06/2026,
"Melpa: Central ",med,0,Active,Community Development / não vai continuar com eles esse ano,Papua New Guinea,YWAM Madang,,NT / 260 Chapters,Goal Met in the language,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e815c97d6d07f6a26d9df?v=13fa7a8d5e6e819193e8000cb0dcf3ae,,,16/06/2026,
mixteco de Magdalena Peñasco,xtm,18,Active,"Maybe will change to OBT, they already have the NT working on the OT",Mexico,YWAM Morelia,Manages/Co-manages,NT / 260 Chapters,Goal Met in the language,,Unrestricted,Oral,OMT,Mitch,,,"Bible Translation, Scripture and Church Engagement",,13/04/2024,,,
Mixteco de San Esteban Atatlahuca ,mib,4,Active,"Maybe will change to OBT, they have the NT working on the OT",Mexico,YWAM Morelia,Manages/Co-manages,NT / 260 Chapters,Goal Met in the language,,Unrestricted,Oral,OMT,Mitch,,,"Bible Translation, Scripture and Church Engagement",,13/04/2025,,,
Moere,mvq,,Planned (to start in the next 12 months),SE & CD active,Papua New Guinea,YWAM Madang,,,N/A,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e811db7b3e1fee0452170?v=145a7a8d5e6e8127974c000ca11b2b49,,,,
Monumbo,mxk,0,Active,OMTT Training,Papua New Guinea,YWAM Madang,,,Not on All Access Goals List,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/13fa7a8d5e6e816ea0e9fd2bfdc53310?v=13fa7a8d5e6e8174b1e5000cff4e19ee,,,16/06/2026,
Mosimo,mqv,,Progress Unknown,SE & CD Active / fizeram survey mas lingua em risco,Papua New Guinea,YWAM Madang,,,N/A,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e816dbf2ce04cc8c3e2a3?v=145a7a8d5e6e8189b99c000cb1a9ecc3,,,,
Mur Pano,tkv,,Active,vão pro treinamento,Papua New Guinea,YWAM Madang,,25 Chapters,Translation in Progress,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e812db4accefd27f3cc67?v=145a7a8d5e6e81979347000cba7bf65f,,,16/06/2026,
Musar,mmi,,Planned (to start in the next 12 months),,Papua New Guinea,YWAM Madang,,25 Chapters,Translation not Started,Yes,,,,Pati & Marcos,,Pati Beltramini,,https://www.notion.so/uofncall/145a7a8d5e6e81f6b993fa1a2ee8f2c9?v=145a7a8d5e6e8174b0f4000c1b2fbdd5,,,,
Narak,nac,0,Progress Unknown,,Indonesia,YWAM Indonesia,,NT / 260 Chapters,Goal Met in the language,No,,,,Rob,,Sylvia Kay,,https://www.notion.so/uofncall/13fa7a8d5e6e81db8dcff7870d3d831b?v=13fa7a8d5e6e8187804d000c23791f84,,,,
Nauete,nxa,0,Active,"Plan to translate the Gospels and Acts until the end of 2026 / língua da maratona // Ready Vessels: ",East Timor,YWAM East Timor,Manages/Co-manages,NT / 260 Chapters,Translation in Progress,Yes,,Oral,OBT - Traditional,Anabel,Sujana,Raissa,Bible Translation,https://www.notion.so/uofncall/13fa7a8d5e6e81bd817dd77264669a86?v=13fa7a8d5e6e81769d8a000c4c152dec,,,03/12/2024,
Ndau,ndc,0,Active,OT translation & translator training,Mozambique,YWAM Porto Velho,,Bible,Goal Met in the language,Yes,,,,Rafa / Ciro,,,,https://www.notion.so/uofncall/145a7a8d5e6e81a3bef8da2d756dc155?v=145a7a8d5e6e816d8ffa000ce09c3f13,,,16/06/2026,
