Language Name,All Access Goal (Rev79),All Access Goal Status (Rev79),Chapters,Comments,Complete Chapters (Project),Contact Person,Country (Project),End Date,Language Identifier (Rev79),Last updated,Mentor,Mode,Not approved yet chapters,Organization,Organization Role,Sensitivity,Standard Objectives,Start Date,Team Leader,Translation Status (Project),Type of translation,Updated in Rev79
Salish,,Not on All Access Goals List,https://www.notion.so/uofncall/13fa7a8d5e6e81eeab79fa63dca7906e?v=13fa7a8d5e6e81e58f20000c6f29ebf3,Plan to translate Luke,0,Josh Lake,United States,,str,,Luciano?,,,YWAM Tribal Waves,,,,,,Progress Unknown,,No
Purepecha - Angahuan,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e81d28317f85642db9037?v=13fa7a8d5e6e8172b985000ce44b382c,"Funds from Fatih comes by hearing, Plan to finish Deuteronomio, Luke and Acts",63,Mitch,"Mexico, United States",,pua,,Daniel Holmberg,Oral,,YWAM Morelia,Manages/Co-manages,Unrestricted,"Bible Translation, Community Development, Scripture and Church Engagement",01/03/2022,,Active,OBT - Traditional,Yes
Zoque de Francisco León,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e8186b77cf180b7f20b01?v=13fa7a8d5e6e8127b397000cdd36a81e,"Working with Scripture Engagement, They have New Testaments made by foreigners they need to appropriate themselves of the Bible",6,Mitch,Mexico,,zos,,Daniel Holmberg,Oral,,YWAM Morelia,Manages/Co-manages,Unrestricted,"Bible Translation, Scripture and Church Engagement",01/10/2023,,Active,OBT - Traditional,Yes
Lama-Dessi,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e81ec88c7dea2e083a8af?v=13fa7a8d5e6e8113864f000cbad82ae1,,0,Meleah,Togo,,not iso language,,Meleah Q,,,YWAM Noepe,,,,,,Progress Unknown,,Yes
Gbaya,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e815583b6ff9b3372717e?v=13fa7a8d5e6e814e9528000c445a228d,,0,Meleah,Togo,,gso,,Meleah Q,,,YWAM Noepe,,,,,,Active,,Yes
Kosrae,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e81eea93eef609a394100?v=13fa7a8d5e6e81308b78000cb2dbcdfb,"Goal is now finishing the whole Bible, Luke, Ruth and Acts 1-8 is completed",0,Youngshin,Micronesia,,kos,,Youngshin,,,YWAM Kona,,,,,,Active,,Yes
Tok Pisin (modern),NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e81a4a638c13cf3752fc0?v=13fa7a8d5e6e81a2b8f1000ca5b5c6ff,,0,? it was on an old Isabela’s spreadsheet,Papua New Guinea,,tpi,,Pati Beltramini,,,"YWAM Madang, YWAM Samoa",,,,,,Active,,No
Afrikaans: Kaaps,Two Bibles,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e8133a3e8c2c6e0f90a7a?v=13fa7a8d5e6e81bfa1ae000cd0fd9421,,0,Etienne Pieterse,South Africa,,afr,,,,,YWAM Sydney,,,,,,Progress Unknown,,No
Shehri ,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e8156ab8ce53ff0252fb1?v=13fa7a8d5e6e81d49c56000c3a7e710c,,0,Jen,Australia,,shv,,Jen / Chris,,,YWAM Perth,,,,,,Progress Unknown,,No
Chinese: Sichuan,Two Bibles,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e816e80d8fc887d35facf?v=13fa7a8d5e6e81b79577000c1fa3026e,,0,Jen,Australia,,cmn,,,,,YWAM Perth,,,,,,Active,,No
Nyikina,,Not on All Access Goals List,https://www.notion.so/uofncall/13fa7a8d5e6e81c0af99fa29e0ad3cb6?v=13fa7a8d5e6e81b2bde5000c238ad3d6,,0,Jen,Australia,,nyh,,,,,YWAM Perth,,,,,,Planned (to start in the next 12 months),,Yes
Bunuba,,Not on All Access Goals List,https://www.notion.so/uofncall/13fa7a8d5e6e810a8609f66b97b9577f?v=13fa7a8d5e6e817ab74a000c60503bd7,,0,Jen,Australia,,bck,,,,,YWAM Perth,,,,,,Planned (to start in the next 12 months),,Yes
Jaru,,Not on All Access Goals List,https://www.notion.so/uofncall/13fa7a8d5e6e81f8b8a2c7f22f8b4ed3?v=13fa7a8d5e6e81b29b41000cc9bc8683,Current is scripture & church engagment,0,Jen,Australia,,ddj,,,,,YWAM Perth,,,,,,Active,,Yes
Matses,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e817898fbde569add0cba?v=13fa7a8d5e6e81d19f82000cd4c00dd6,eles começaram mas tem outras organizações envolvidas,0,Fresia,Peru,,mcf,29/11/2024,Daniel,,,YWAM Aurora,,,,,Fresia,Inactive (paused),,No
Urarina,25 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e81edad6cc5357cb97a22?v=13fa7a8d5e6e8168ba75000c817801ff,eles começaram mas tem outras organizações envolvidas,0,Fresia,Peru,,ura,29/11/2024,Daniel,,,YWAM Aurora,,,,,Fresia,Inactive (paused),,No
Kashinawa,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e8137ae3cde7cb7ebd768?v=13fa7a8d5e6e81099b8d000cc67cd0ce,"eles começaram mas estão aguardando ",0,Fresia,Peru,,cbs,29/11/2024,Daniel,,,YWAM Aurora,,,,,Fresia,Completed (the team finished what they wanted to do),,No
Jiw/Guayabero,25 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e8186b802dab80811752c?v=13fa7a8d5e6e81c68b4a000c8351cbbb,,0,Lori,Colombia,,guo,16/06/2026,Daniel,,,YWAM Leticia,,,,,Edwin,Active,,Yes
Embera Dobida,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e81c5bcbde9f722212797?v=13fa7a8d5e6e8126824b000ca9a3f970,,0,Lori,Colombia,,emp,16/06/2026,Daniel,,,YWAM Leticia,,,,,Edwin,Active,,No
Wounaan,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e810e86a5eebe6ac5dd25?v=13fa7a8d5e6e81669ac3000cb43016b3,,0,Lori,Colombia,,noa,16/06/2026,Daniel,,,YWAM Leticia,,,,,Edwin,Active,,No
Chinook Wawa,,Not on All Access Goals List,https://www.notion.so/uofncall/13fa7a8d5e6e813fb0cfd389ea320836?v=13fa7a8d5e6e81d195a4000c3a97c976,Will be the reporting org only,0,Jessy,"Canada, United States",,chn,16/06/2026,Jessy Pfarrkirchner,Oral,,YWAM Salem,,,,,,Active,,Yes
Krongo-Chznagli,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e8157aecce902ce66bed3?v=13fa7a8d5e6e818793e0000c0c427da9,Scripture engagement with refugee population,0,Jessy,United States,,kgo,,Jessy Pfarrkirchner,,,YWAM Salem,,,,,,Active,,Yes
Awa-Cuaiquer,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/13fa7a8d5e6e81ff9acff6723434918f?v=13fa7a8d5e6e817cb95c000cac66ba3e,,0,Lori,Colombia,,kwi,29/11/2024,Daniel,,,YWAM Leticia,,,,,Edwin,Active,,No
Yanomami Hakoma,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/13fa7a8d5e6e81b5b6abd88f1391e174?v=13fa7a8d5e6e81c99fd0000c3fc29894,They don’t have a team,0,Betania,Brazil,,wca,28/11/2024,,,,YWAM Porto Velho,,,,,,Canceled,,No
Bantawa,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/144a7a8d5e6e8150919bee3400ca24aa?v=144a7a8d5e6e81699096000c4042e478,,260,Jen,Nepal,,bap,,,,,YWAM Perth,,,,,,Active,,Yes
Chhiling,,N/A,https://www.notion.so/uofncall/144a7a8d5e6e81e5aa51f8183e1b3d22?v=144a7a8d5e6e81698384000c51a26ab3,,0,Jen,Nepal,,cur,,,,,YWAM Perth,,,,,,Inactive (paused),,Yes
Bouyei,Bible,Translation in Progress,https://www.notion.so/uofncall/145a7a8d5e6e8135878cfb31b9ece71d?v=145a7a8d5e6e81c49677000cd8eed608,Need to ask Youngshin about this,,???,"China, Laos, Vietnam",,pcc,,,,,YWAM Perth,,,,,,Progress Unknown,,Yes
Chhintang,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/145a7a8d5e6e8159ac7ef407676f2d36?v=145a7a8d5e6e813eadef000cb977716e,,,Jen,Nepal,,ctn,,,,,YWAM Perth,,,,,,Planned (to start in the next 12 months),,
Fijian - Western,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/145a7a8d5e6e81cca354e2213f5c76c6?v=145a7a8d5e6e81d2be0e000c4fd8e1f2,"Book of Ruth completed, Book of Jonah in process",4,Semi,Fiji,,wyy,,Youngshin,,,YWAM Kona,,,,,Semi,Active,,Yes
Tupi Kawahiva: Tenharim,25 Chapters,Goal Met in the language,https://www.notion.so/uofncall/145a7a8d5e6e81f6bce8f7af9bd8c6e9?v=145a7a8d5e6e818e9f7a000cb98f6e45,OT portions - Plan to translate the Gospels and Acts until the end of 2026,0,Rafa / Ciro,Brazil,,pah,28/11/2024,Sil,,,YWAM Porto Velho,,,,,Lucas,Active,,Yes
Ticuna,NT / 260 Chapters,Goal Met in the language,https://www.notion.so/uofncall/145a7a8d5e6e813aacdcf87bf57379ec?v=145a7a8d5e6e8173a40b000ca6d5c6f7,They didn’t go to the workshop in Leticia - Raissa,,Lori,"Colombia, Peru",,tca,29/11/2024,,,,YWAM Leticia,,,,,,Canceled,,Yes
Uru-Eu-Wau-Wau,25 Chapters,Translation in Progress,https://www.notion.so/uofncall/145a7a8d5e6e8115beefe1fce7c59f2e?v=145a7a8d5e6e81b4bd50000c671bef3a,Cancel on rev79 - Tupi Kawahiva breac,,Rafa / Ciro,Brazil,,urz,28/11/2024,,,,YWAM Porto Velho,,,,,,Canceled,,No
Jola-Felupe,NT / 260 Chapters,Translation in Progress,https://www.notion.so/uofncall/145a7a8d5e6e813ab0c3d673efc560b5?v=145a7a8d5e6e81368600000c8195292b,"OT portions, Translator training",0,Rafa / Ciro,Guinea-Bissau,,eja,28/11/2024,,,,YWAM Porto Velho,,,,,,Active,,Yes
